"text_","anotador_a","anotador_b","anotador_c","result",""
"flamengo o brasileiro acaba no dia number de fevereiro , a janela para entrada de jogadores abre somente em março . logo , diego alves saindo é bem claro que o camisa number será o hugo souza , o clube querendo ou não . se vai contratar depois , vai depender de uma série de fatores .","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"segundo apuração da cânon junto a amigos e familiares , os médicos do hospital copa star , no rio de janeiro , estão diminuindo gradativamente a ventilação mecânica do ex-jogador . url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"e essa guerra na praça seca , acaba quando ?","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"portaria começou a valer hoje e deverá ser cumprida com apoio da pf url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"urgente : criminoso que matou o policial militar na casa & vídeo de mesquita acaba de ser preso ! url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"um intenso tiroteio durante ação policial assustou moradores do morro da formiga , na tijuca , zona norte do rio , na manhã desta segunda-feira ( number ) . houve registro de tiros às number e novamente às number . url hashtag hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"morreu na noite desta sexta-feira ( number ) , o ex-deputado federal e vereador pela cidade de salvador , username . ele estava internado em um hospital particular em feira de santana desde o dia number de fevereiro com covil number .","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"gol do flamengo pedro aos number ’ number terceiro tempo joão gomes faz lindo passe e coloca pedro cara a cara com o goleiro que não perdoa . portuguesa 2x2 flamengo","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"acidente entre táxi e moto acaba em morte de estudante hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"engavetamento com cinco carros na radial leste deixa dois feridos hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"motorista abandona esposa e filha após matar motociclista em acidente de carro . de acordo com a mulher , ele havia ingerido uma grande quantidade de bebidas alcoólicas hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"moradores registram vídeos de intensos tiroteios em comunidade hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"a polícia prendeu , até agora , cinco pessoas por envolvimento na morte de fabiana , romuyuki e juan gonçalves , encontrados carbonizados em uma estrada de terra em são bernardo do campo hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"onda de assaltos aterroriza moradores do morumbi , em são paulo hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"polícia procura bandidos que botaram fogo em carros e atiraram em ônibus hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"dupla de criminosos rouba encomendas de entregadores em são paulo . veja no hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"jovem é preso após atacar idosa de number anos no elevador do prédio em que morava hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"notícia urgente : polícia faz operação contra empresários que tomaram vacina em garagem de ônibus , em belo horizonte ( amigo ) . veja mais no hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"as meninas estavam na calçada quando um carro invadiu o local e as atropelou . os familiares pedem justiça e questionam por que não fizeram teste de bafômetro no motorista hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"bandido homem-aranha ? homem escala parede de prédio , pula janela , invade apartamento e ataca duas mulheres . veja as imagens ! hashtag url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"um hashtag foi apreendido e um criminoso acabou morto depois de atacar nossos policiais militares . o armamento de guerra estava com ele . a ação aconteceu na noite desta sexta ( number ) no morro do dennis . conhecido como rato , o criminoso atuava na resistência armada do tráfico de drogas . url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"não tem como a polícia atirar sem ser ameaçada antes . eu prefiro acreditar na polícia do que em bandido . observação : só de armas e granadas , foram apreendidas mais do que number . sinal que , possivelmente , todos que morreram estavam armados .","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username username se tivessem ao menos number segurança armado isso não teria acontecido , e pra piorar a polícia ao invés de mandar esse lixo pro inferno vai defender ele da população e ainda vamos sustentar esse lixo na cadeia","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username traficante não tem que ir para cadeia não e sim ir para uma fazenda com uma bola de ferro no pé com uma foice para roçar pasto aí sim queria ver ele iria querer voltar a roubar estamos cansado disso já nossa justiça muito ruim","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username penalidade máxima ao assassino covarde . suje it o com number anos é maior de idade , não é jovem nem adolescente:","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"username username e parte da imprensa , g1 . dando narrativa à criminoso morto no rj . será que irão fazer o mesmo pela família deste pobre trabalhador ? inversão de valores total !","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
