text_,anotador_a,anotador_b,anotador_c,result,Unnamed: 5,anotador_llm_a,explicacao_llm_a
"flamengo o brasileiro acaba no dia number de fevereiro , a janela para entrada de jogadores abre somente em março . logo , diego alves saindo é bem claro que o camisa number será o hugo souza , o clube querendo ou não . se vai contratar depois , vai depender de uma série de fatores .",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto discute questões relacionadas à gestão de jogadores de futebol e à possibilidade de Hugo Souza assumir a camisa número no Flamengo, sem dirigir ataques a grupos específicos nem incitar violência. Expressa uma opinião sobre a situação esportiva, dentro do contexto de uma análise lógica e factual."
"segundo apuração da cânon junto a amigos e familiares , os médicos do hospital copa star , no rio de janeiro , estão diminuindo gradativamente a ventilação mecânica do ex-jogador . url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma observação sobre um procedimento médico em um hospital, sem atacar grupos específicos, incitar violência ou conter conteúdo tóxico. A linguagem é neutra e foca em informações sobre saúde e tratamento."
"e essa guerra na praça seca , acaba quando ?",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma preocupação com a situação de conflito em uma praça, mas não ataca grupos específicos nem incita violência. É uma pergunta sobre o fim de uma situação conflituosa, sem desumanização ou ódio."
portaria começou a valer hoje e deverá ser cumprida com apoio da pf url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto menciona uma portaria com efeito a partir de hoje e o apoio da PF, sem atacar grupos específicos, incitar violência ou expressar antipatia. Trata-se de uma informação sobre política de segurança, sem conteúdo tóxico ou ininteligível."
urgente : criminoso que matou o policial militar na casa & vídeo de mesquita acaba de ser preso ! url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto menciona um criminoso e um caso de morte de um policial, mas não contém ataques diretos, desumanização ou incitação à violência contra o grupo de criminosos. A expressão é factual e informativa, sem ódio ou promover violência."
"um intenso tiroteio durante ação policial assustou moradores do morro da formiga , na tijuca , zona norte do rio , na manhã desta segunda-feira ( number ) . houve registro de tiros às number e novamente às number . url hashtag hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um evento de tiroteio durante ação policial, expressando preocupação com a segurança dos moradores, sem atacar diretamente o grupo de 'bandidos' nem incitar violência. A linguagem é factual e informativa, alinhada com a categoria 'Não Tóxico'."
"morreu na noite desta sexta-feira ( number ) , o ex-deputado federal e vereador pela cidade de salvador , username . ele estava internado em um hospital particular em feira de santana desde o dia number de fevereiro com covil number .",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Lixo,"O texto contém informações incompletas e ininteligíveis, com termos como 'number' e 'covil number' que não têm sentido claro. Além disso, não há conteúdo coeso ou coerente em português, o que classifica o texto como lixo."
gol do flamengo pedro aos number ’ number terceiro tempo joão gomes faz lindo passe e coloca pedro cara a cara com o goleiro que não perdoa . portuguesa 2x2 flamengo,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto descreve um evento esportivo com detalhes de jogo, sem atacar grupos específicos, incitar violência ou expressar ódio. Não contém conteúdo tóxico, nem é ininteligível ou sem sentido."
acidente entre táxi e moto acaba em morte de estudante hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um acidente com consequências fatais, mas não ataca grupos específicos como 'bandidos' nem incita violência. Expressa apenas uma situação de segurança pública sem desumanização ou ódio."
engavetamento com cinco carros na radial leste deixa dois feridos hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto descreve um incidente de engavetamento com feridos, sem atacar o grupo de 'bandidos' nem incitar violência. Expressa apenas uma situação de segurança pública com preocupação, sem desumanização ou ódio."
"motorista abandona esposa e filha após matar motociclista em acidente de carro . de acordo com a mulher , ele havia ingerido uma grande quantidade de bebidas alcoólicas hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um fato sobre um motorista que abandona sua família após um acidente, sem atacar o grupo de 'bandidos' ou incitar violência. Expressa preocupação com a situação, mas não contém ódio, desumanização ou incitação à violência."
moradores registram vídeos de intensos tiroteios em comunidade hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto menciona tiroteios em uma comunidade, mas não ataca diretamente o grupo de 'bandidos' nem incita violência. Expressa apenas uma observação sobre o que está acontecendo, sem desumanização, ódio ou promoção de violência."
