text_,anotador_a,anotador_b,anotador_c,result,Unnamed: 5,anotador_llm_b,explicacao_llm_b
"flamengo o brasileiro acaba no dia number de fevereiro , a janela para entrada de jogadores abre somente em março . logo , diego alves saindo é bem claro que o camisa number será o hugo souza , o clube querendo ou não . se vai contratar depois , vai depender de uma série de fatores .",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma opinião sobre as possíveis contratações de jogadores de futebol e não contém ataques, incitação à violência ou desqualificação de nenhum grupo."
"segundo apuração da cânon junto a amigos e familiares , os médicos do hospital copa star , no rio de janeiro , estão diminuindo gradativamente a ventilação mecânica do ex-jogador . url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma situação de saúde relacionada ao cuidado médico de um indivíduo, sem incitar violência ou discurso de ódio contra qualquer grupo."
"e essa guerra na praça seca , acaba quando ?",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto parece expressar preocupação ou discussão sobre um assunto, sem usar linguagem explícita ou implícita de ódio, humilhação ou incitação à violência."
portaria começou a valer hoje e deverá ser cumprida com apoio da pf url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"<Explique em 1–2 frases, com base nos critérios>"
urgente : criminoso que matou o policial militar na casa & vídeo de mesquita acaba de ser preso ! url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto transmite um conteúdo relacionado a uma ocorrência criminal e a prisão de um indivíduo, sem incitar violência ou discurso de ódio. No entanto, o uso de palavras como'matou' pode ser considerado como leve conotação negativa, mas não atende aos critérios para classificação como tóxica."
"um intenso tiroteio durante ação policial assustou moradores do morro da formiga , na tijuca , zona norte do rio , na manhã desta segunda-feira ( number ) . houve registro de tiros às number e novamente às number . url hashtag hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto contém informações sobre um tiroteio, mas sem conteúdo tóxico, incitamento à violência ou ataques a um grupo. Portanto, é classificado como Não Tóxico."
"morreu na noite desta sexta-feira ( number ) , o ex-deputado federal e vereador pela cidade de salvador , username . ele estava internado em um hospital particular em feira de santana desde o dia number de fevereiro com covil number .",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto é um relato de um fato, sem conteúdo tóxico, incitamento à violência ou ataque a um grupo. Portanto, é classificado como Não Tóxico."
gol do flamengo pedro aos number ’ number terceiro tempo joão gomes faz lindo passe e coloca pedro cara a cara com o goleiro que não perdoa . portuguesa 2x2 flamengo,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,O texto discute um evento futebolístico em tom neutro sem atacar nenhum grupo ou incitar violência.
acidente entre táxi e moto acaba em morte de estudante hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um evento (acidente entre táxi e moto) que resultou em uma morte. Não há ataque dirigido ao grupo, incitação à violência ou discurso de ódio."
engavetamento com cinco carros na radial leste deixa dois feridos hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Lixo,"O texto consiste em caracteres aleatórios e não forma uma frase ou mensagem coerente; também carece de conteúdo que possa ser classificado como tóxico, não tóxico ou inteligível."
