text_,anotador_a,anotador_b,anotador_c,result,Unnamed: 5,anotador_llm_b,explicacao_llm_b
"flamengo o brasileiro acaba no dia number de fevereiro , a janela para entrada de jogadores abre somente em março . logo , diego alves saindo é bem claro que o camisa number será o hugo souza , o clube querendo ou não . se vai contratar depois , vai depender de uma série de fatores .",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto discute assuntos relacionados ao futebol e à contratação de jogadores pelo Flamengo, sem atacar nenhum grupo ou incitar violência."
"segundo apuração da cânon junto a amigos e familiares , os médicos do hospital copa star , no rio de janeiro , estão diminuindo gradativamente a ventilação mecânica do ex-jogador . url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto informa sobre o estado de saúde de um ex-jogador, mencionando a ventilação mecânica e a avaliação médica. Não há ataques a grupos, incitação à violência ou discurso de ódio."
"e essa guerra na praça seca , acaba quando ?",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma preocupação com a violência e a insegurança, mas não ataca nenhum grupo específico nem incita à violência."
portaria começou a valer hoje e deverá ser cumprida com apoio da pf url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Lixo,"O texto é ininteligível devido à presença de uma URL e caracteres aleatórios, não seguindo o idioma português e sem apresentar conteúdo relevante."
urgente : criminoso que matou o policial militar na casa & vídeo de mesquita acaba de ser preso ! url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto informa sobre a prisão de um criminoso que matou um policial militar e menciona um vídeo, indicando uma discussão sobre crime e violência, com foco em um grupo específico (criminosos)."
"um intenso tiroteio durante ação policial assustou moradores do morro da formiga , na tijuca , zona norte do rio , na manhã desta segunda-feira ( number ) . houve registro de tiros às number e novamente às number . url hashtag hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um evento de segurança pública (tiroteio) e informa sobre a localização e horário, sem atacar nenhum grupo ou incitar violência."
"morreu na noite desta sexta-feira ( number ) , o ex-deputado federal e vereador pela cidade de salvador , username . ele estava internado em um hospital particular em feira de santana desde o dia number de fevereiro com covil number .",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata a morte de uma pessoa pública, mencionando seu histórico e hospitalização, sem atacar ou incitar violência contra nenhum grupo."
gol do flamengo pedro aos number ’ number terceiro tempo joão gomes faz lindo passe e coloca pedro cara a cara com o goleiro que não perdoa . portuguesa 2x2 flamengo,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto descreve um evento esportivo (gol de futebol) e não contém ataques, incitação à violência ou discurso de ódio contra nenhum grupo."
acidente entre táxi e moto acaba em morte de estudante hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um acidente e a morte de um estudante, descrevendo um fato, sem atacar nenhum grupo ou incitar violência."
engavetamento com cinco carros na radial leste deixa dois feridos hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um acidente de trânsito, informando sobre o engavetamento e os feridos. Não há ataque a grupos, incitação à violência ou discurso de ódio."
"motorista abandona esposa e filha após matar motociclista em acidente de carro . de acordo com a mulher , ele havia ingerido uma grande quantidade de bebidas alcoólicas hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um acidente de carro e o abandono da família pelo motorista, sem atacar nenhum grupo ou incitar violência."
moradores registram vídeos de intensos tiroteios em comunidade hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata incidentes de tiroteio em uma comunidade, sem direcionar ataques ou incitar violência contra nenhum grupo específico."
"a polícia prendeu , até agora , cinco pessoas por envolvimento na morte de fabiana , romuyuki e juan gonçalves , encontrados carbonizados em uma estrada de terra em são bernardo do campo hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto informa sobre uma prisão em decorrência de um crime, sem atacar ou incitar violência contra nenhum grupo específico."
"onda de assaltos aterroriza moradores do morumbi , em são paulo hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma preocupação com a criminalidade e a segurança pública, mencionando um local específico (Morumbi, São Paulo). Não há ataque a um grupo ou incitação à violência."
polícia procura bandidos que botaram fogo em carros e atiraram em ônibus hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um crime e a busca por suspeitos, expressando preocupação com a segurança pública sem atacar ou incitar violência contra nenhum grupo."
dupla de criminosos rouba encomendas de entregadores em são paulo . veja no hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto informa um fato sobre roubos cometidos por criminosos, sem atacar o grupo, incitar violência ou desumanizá-los."
jovem é preso após atacar idosa de number anos no elevador do prédio em que morava hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto descreve um crime violento (ataque a idosa) e inclui uma hashtag que pode ser usada para divulgar ou se apropriar do evento.  A menção a um 'elevador' e 'prédio' sugere um contexto de violência em um local comum, o que pode indicar uma tentativa de normalizar ou incentivar atos criminosos."
"notícia urgente : polícia faz operação contra empresários que tomaram vacina em garagem de ônibus , em belo horizonte ( amigo ) . veja mais no hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata uma operação policial contra empresários que receberam vacinas de forma irregular, sem atacar nenhum grupo específico ou incitar violência."
as meninas estavam na calçada quando um carro invadiu o local e as atropelou . os familiares pedem justiça e questionam por que não fizeram teste de bafômetro no motorista hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto relata um acidente grave e a busca por justiça, sem atacar ou incitar violência contra indivíduos ou grupos específicos. A menção ao teste de bafômetro é relacionada à investigação do incidente, não a um discurso de ódio."
"bandido homem-aranha ? homem escala parede de prédio , pula janela , invade apartamento e ataca duas mulheres . veja as imagens ! hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto descreve ações de criminosos (bandidos) de forma gráfica e incentiva a visualização de imagens que retratam violência e invasão, o que pode ser interpretado como uma forma de legitimar ou glorificar o comportamento criminoso."
"um hashtag foi apreendido e um criminoso acabou morto depois de atacar nossos policiais militares . o armamento de guerra estava com ele . a ação aconteceu na noite desta sexta ( number ) no morro do dennis . conhecido como rato , o criminoso atuava na resistência armada do tráfico de drogas . url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto descreve a morte de um criminoso após um ataque a policiais, e menciona sua atuação na resistência armada do tráfico de drogas, o que pode ser interpretado como uma justificativa para a violência e um apelo à repressão."
"não tem como a polícia atirar sem ser ameaçada antes . eu prefiro acreditar na polícia do que em bandido . observação : só de armas e granadas , foram apreendidas mais do que number . sinal que , possivelmente , todos que morreram estavam armados .",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto expressa uma crença de que a polícia tem o direito de atirar sem ser ameaçada e demonstra desconfiança em relação aos 'bandidos', associando-os à violência e à posse de armas. Isso pode ser interpretado como incitação à desconfiança e, potencialmente, à violência contra o grupo."
"username username se tivessem ao menos number segurança armado isso não teria acontecido , e pra piorar a polícia ao invés de mandar esse lixo pro inferno vai defender ele da população e ainda vamos sustentar esse lixo na cadeia",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto expressa uma crítica direcionada à polícia e à população, utilizando linguagem agressiva e depreciativa, além de incitar à violência e a desconfiança em relação às autoridades."
